MHL,28.1,19.2,14.7,14.4,14.3,13.9,14.6,14.4
MRT,2.2,2.8,2,1.5,1.3,1.4,1.7,1.9
MUS,2,2,2.2,2.6,2.5,2.3,2.4,2.4
MEX,2.1,2.3,2.6,3.1,3.1,3.2,3.3,3.3
FSM,8.7,7.4,11.3,12.6,12.5,11.6,12.1,12.4
MDA,5.8,3.2,4.2,5.6,5.3,5.5,5,5.3
MCO,2.8,2.9,3.5,3.9,3.7,3.8,3.6,3.8
MNG,2.6,3.8,2.5,2.7,2.6,2.3,2.2,2.6
MNE,5.2,5.2,6,4.2,4.2,4.5,3.7,3.7
MAR,1.2,1.2,1.4,2.1,2.1,2.2,2,2
MOZ,3.4,4.3,4.3,3,2.7,2.8,3.1,3.9
MMR,0.4,0.3,0.2,0.3,0.3,0.8,0.8,1
NAM,4.4,4.2,3.6,4.6,5.3,4.9,5,5.4
NRU,12.3,12.5,11.6,8.5,7.1,6.5,4.2,2.9
NPL,1.4,1.4,1.6,2.9,3.2,2.5,2.2,2.3
NLD,5.3,4.7,6.7,9.1,9.1,9.5,9.6,9.5
NZL,5.4,5.8,6.6,9.3,9.3,9.5,9.2,9.1
NIC,4.2,2.9,3.5,4.3,4.1,4.3,4.4,5.1
NER,1.5,1.5,3,2.2,2.5,2.2,2.5,3.2
NGA,0.7,0.9,1.2,0.9,1.2,1,0.9,0.9
NOR,6.5,6.8,7.4,7.8,7.7,7.8,8,8.3
OMN,3.1,2.5,2.1,2.3,2,2.1,2.4,3.2
PAK,0.7,0.6,0.7,1,0.9,1,1,0.9
PLW,8.7,6.4,5.9,7.6,6.5,6.7,6.6,6.5
PAN,5.2,5.3,5.2,5.7,5.1,5,5.8,5.9
PNG,2.5,3.3,5.5,3.2,4,3.7,3.9,3.5
PRY,2.1,3.2,2.4,3.4,3.8,4.6,4.8,4.5
PER,2.4,2.7,2.7,2.8,2.6,2.8,3,3.3
PHL,1.4,1.5,1.5,1.6,1.3,1.4,1.4,1.6
POL,3.9,3.9,4.3,4.9,4.7,4.6,4.5,4.5
PRT,4.6,6.2,7,7.2,6.7,6.2,6.2,6.2
QAT,2.3,1.6,2.5,1.6,1.5,1.8,1.9,1.9
ROU,2.4,3.5,4.4,4.7,4.4,4.4,4.5,4.5
RUS,4,3.2,3.2,3.7,3.6,3.8,3.7,3.7
RWA,1.6,1.7,3.2,2.9,2.8,2.8,2.9,2.9
KNA,3.2,2.6,1.9,2.5,2.3,2.4,2.2,2.1
LCA,3,2.9,2.9,4,3.3,4.2,3.5,3.6
VCT,3.8,3.1,3,3.9,4.1,4.4,4.3,4.4
WSM,3.4,4.1,3.6,5,5.1,4.3,6.2,6.5
SMR,4.6,4.4,3.8,4.6,5.3,5.9,5.7,5.7
STP,2.8,3.8,5.3,2.5,2.6,2.5,3.6,3.6
SAU,1.5,3.1,2.5,2.3,2.5,2.8,3.1,3.5
SEN,1.3,1.9,3,2.4,2.3,2.2,2.2,2.4
SRB,4.3,4.3,5.7,6.2,6,6,6,6.4
SYC,4.2,3.8,3.6,3.2,3.2,3.8,3.3,3.1
SLE,2.4,3.5,2.7,2.4,2.6,2,1.7,1.9
SGP,1.5,1.2,1,1.4,1.3,1.5,1.7,2.1
SVK,5.4,4.9,5.2,5.8,5.6,5.7,5.8,5.8
SVN,5.8,6.1,6.2,6.7,6.7,6.8,6.7,6.6
SLB,3,4.3,7.4,7,4.7,5.1,5,4.6
ZAF,3.4,3.3,3.3,4,4.1,4.3,4.2,4.2
SSD,,,,,,0.9,0.9,1.1
ESP,5.4,5.2,5.9,7.2,7,6.7,6.5,6.4
LKA,1.6,1.8,1.9,1.6,1.4,1.2,2.1,2
SDN,0.8,0.9,1.1,2.7,2.6,1.9,1.9,1.8
SUR,4.5,5.6,3.5,2.9,2.9,3.2,3.2,2.9
SWZ,2.8,3,4.6,6,6,6.3,7.4,7
SWE,6.9,6.9,7.4,7.7,9.9,10,10.1,10
CHE,5,5.5,6.5,7.1,7.2,7.5,7.7,7.7
SYR,2.2,2,2.1,1.5,1.5,1.5,1.5,1.5
TJK,1.3,0.9,1.1,1.6,1.7,1.9,2.1,2
TZA,1.4,1.1,3,2.1,2.5,2.8,2.6,2.6
THA,2,2.3,3.4,4.4,5,5.2,5.3,5.6
