 Montenegro,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
 Morocco,24.9,27.2,29,30.4,32.1,32.5,33,33.5,33.9,34.4
 Mozambique,13.4,15.9,18.3,21.1,24.3,25,25.7,26.5,27.2,28
 Myanmar,42,44.7,47.7,50,51.7,52.1,52.5,53,53.4,53.9
 Namibia,1.4,1.7,1.9,2,2.2,2.2,2.3,2.3,2.4,2.5
 Nauru,0,0,0,0,0,0,0,0,0,0
 Nepal,18.7,21.4,23.7,25.5,26.9,27.2,27.5,27.8,28.2,28.5
 Netherlands,14.9,15.5,15.9,16.3,16.6,16.7,16.7,16.8,16.9,16.9
 New Zealand,3.4,3.7,3.9,4.1,4.4,4.4,4.4,4.5,4.5,4.5
 Nicaragua,4.1,4.6,5,5.4,5.7,5.8,5.9,5.9,6,6.1
 Niger,7.9,9.4,11.2,13.5,16.3,16.9,17.6,18.4,19.1,19.9
 Nigeria,95.6,108.4,122.9,139.6,159.4,163.8,168.2,172.8,177.5,182.2
 Norway,4.2,4.4,4.5,4.6,4.9,5,5,5.1,5.1,5.2
 Oman,1.8,2.2,2.2,2.5,2.9,3.2,3.5,3.9,4.2,4.5
 Pakistan,107.6,122.6,138.3,153.4,170,173.7,177.4,181.2,185,188.9
 Palau,0,0,0,0,0,0,0,0,0,0
" Palestine, State of",2.1,2.6,3.2,3.6,4.1,4.2,4.3,4.4,4.5,4.7
 Panama,2.5,2.7,3,3.3,3.6,3.7,3.7,3.8,3.9,3.9
 Papua New Guinea,4.2,4.7,5.4,6.1,6.8,7,7.2,7.3,7.5,7.6
 Paraguay,4.2,4.8,5.3,5.8,6.2,6.3,6.4,6.5,6.6,6.6
 Peru,21.8,24,25.9,27.6,29.4,29.8,30.2,30.6,31,31.4
 Philippines,61.9,69.8,77.9,86.1,93,94.5,96,97.6,99.1,100.7
 Poland,38.2,38.6,38.5,38.5,38.6,38.6,38.6,38.6,38.6,38.6
 Portugal,9.9,10.1,10.3,10.5,10.6,10.6,10.5,10.5,10.4,10.3
 Qatar,0.5,0.5,0.6,0.8,1.8,1.9,2,2.1,2.2,2.2
 Romania,23.5,23,22.1,21.4,20.3,20.1,19.9,19.8,19.7,19.5
 Russian Federation,147.6,148.3,146.4,143.6,143.2,143.2,143.3,143.4,143.4,143.5
 Rwanda,7.3,5.9,8,9,10.3,10.6,10.8,11.1,11.3,11.6
 Saint Kitts and Nevis,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
 Saint Lucia,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
 Saint Vincent and the Grenadines,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
