id,2010,2011,2012,2013,2014,2015,2016
ETH,1200,2000,3000,3900,5100,4800,4200
FJI,,,,,,,
FIN,,,,,,,
FRA,<500,<500,<500,<500,<500,<500,<500
GAB,<200,<200,<500,<500,<500,<500,<500
GMB,<100,<200,<200,<200,<200,<200,<200
GEO,<100,<100,<100,<100,<100,<100,<100
DEU,,,,,,,
GHA,<1000,1700,1800,1400,1600,1600,2300
GRC,,,,,,,
GTM,<100,<100,<100,<200,<100,<100,<100
GIN,<200,<500,<500,1100,<1000,<500,<1000
GNB,<100,<100,<200,<500,<500,<500,<500
GUY,<100,<100,<100,<100,<100,<100,<100
HTI,<500,<1000,1300,1400,1500,1400,1400
HND,<100,<100,<100,<100,<100,<100,<100
HUN,,,,,,,
ISL,,,,,,,
IND,,,,,,,
IDN,<1000,<500,<1000,<1000,<1000,<1000,<500
IRN,<100,<100,<100,<100,<100,<100,<100
IRL,<100,<100,<100,<100,<100,<100,<100
ISR,,,,,,,
ITA,<100,<100,<100,<100,<100,<100,<100
JAM,,,,,,,<100
JPN,,,,,,,
JOR,,,,,,,
KAZ,<100,<100,<100,<100,<100,<100,<100
KEN,9400,11000,9000,8000,11000,13000,13000
KWT,,,,,,,
KGZ,<100,<100,<100,<100,<100,<100,<100
LAO,<100,<100,<100,<100,<100,<100,<100
LVA,<100,<100,<100,<100,<100,<100,<100
LBN,,,,,,,
LSO,,,,,,,
LBR,<100,<200,<200,<200,<200,<500,<500
LTU,,,,,,,
LUX,<100,<100,<100,<100,<100,<100,<100
MDG,<100,<100,<100,<100,<100,<100,<100
MWI,3000,6000,10000,11000,12000,13000,14000
MYS,<100,<100,<100,<100,<100,<100,<100
MDV,,,,,,,
MLI,<1000,<1000,<1000,<1000,<1000,<1000,<1000
MLT,,,,,,,
MRT,,,,,,,<100
MEX,<200,<200,<200,<500,<500,<500,<500
MNG,,,,,,,
MNE,,,,,,,
MAR,<100,<100,<100,<100,<100,<100,<100
MOZ,4200,7400,12000,16000,20000,20000,20000
MMR,<500,<500,<1000,<1000,<1000,<1000,1200
NAM,1200,1100,1100,1400,1800,1800,2300
NPL,<100,<100,<100,<100,<100,<100,<100
NLD,<100,<100,<100,<100,<100,<100,<100
NZL,,,,,,,
NIC,<100,<100,<100,<100,<100,<100,<100
NER,<500,<500,<500,<500,<500,<500,<500
NGA,4700,5200,7500,9800,12000,11000,12000
NOR,,,,,,,
OMN,,,,,,,
PAK,<100,<100,<100,<100,<100,<100,<100
PAN,,,,,,,
PNG,<100,<100,<100,<200,<200,<200,<500
PRY,<100,<100,<100,<100,<100,<100,<100
PER,,,,,,,<500
PHL,<100,<100,<100,<100,<100,<100,<100
POL,,,,,,,
PRT,,,,,,,
QAT,,,,,,,
KOR,,,,,,,
MDA,<100,<100,<100,<100,<100,<100,<100
ROU,<100,<100,<100,<100,<100,<100,<100
RUS,,,,,,,
RWA,1500,2600,2400,2500,2700,2800,2500
SAU,<100,<100,<100,<100,<100,<100,<100
SEN,<200,<200,<500,<500,<500,<500,<500
SRB,,,,,,,
SLE,,,,,,,<1000
SGP,,,,,,,
SVK,,,,,,,
SVN,,,,,,,
SOM,<100,<100,<100,<100,<100,<100,<100
ZAF,69000,65000,58000,59000,69000,70000,69000
SSD,<200,<200,<500,<500,<500,1000,<1000
ESP,<200,<200,<200,<200,<200,<200,<200
LKA,,,,,,,
SDN,<100,<100,<100,<100,<100,<100,<100
SUR,<100,<100,<100,<100,<100,<100,<100
SWZ,1300,1500,1500,1600,1900,2100,2000
SWE,<100,<100,<100,<100,<100,<100,<100
CHE,,,,,,,
SYR,,,,,,,
TJK,<100,<100,<100,<100,<100,<100,<100
THA,1500,1300,1200,1000,<1000,<1000,<1000
MKD,,,,,,,
TLS,,,,,,,
TGO,<500,<1000,<1000,<1000,<1000,1100,1000
TTO,<100,<100,<100,<100,<100,<100,<100
TUN,,,,,,,
TUR,,,,,,,
TKM,,,,,,,
UGA,4900,9400,21000,23000,27000,29000,27000
UKR,<500,<500,<500,<500,<500,<500,<500
ARE,,,,,,,
GBR,,,,,,,
TZA,13000,14000,15000,15000,15000,14000,15000
USA,,,,,,,
URY,,,,,,,<100
UZB,,,,,,,
VEN,<100,<100,<100,<200,<200,<500,<500
VNM,<500,<500,<500,<500,<500,<500,<500
YEM,<100,<100,<100,<100,<100,<100,<100
ZMB,21000,21000,22000,23000,26000,33000,31000
ZWE,,,,,,,
Total,160000,180000,200000,220000,250000,270000,270000
